,,,,,,,,,,CD4,,,ZFP36L2,,,,,
,,,,,,,,,,TNFRSF25,,,USP36,,,,,
,,,,,,,,,,RPL31,,,,,,,,
,,,,,,,,,,SLC40A1,,,,,,,,
,,,,,,,,,,RPL18A,,,,,,,,
,,,,,,,,,,MSL3,,,,,,,,
,,,,,,,,,,RPL23,,,,,,,,
,,,,,,,,,,RPLP2,,,,,,,,
,,,,,,,,,,DNAJB1,,,,,,,,
,,,,,,,,,,RPL14,,,,,,,,
,,,,,,,,,,RPL5,,,,,,,,
,,,,,,,,,,NOSIP,,,,,,,,
,,,,,,,,,,CD55,,,,,,,,
,,,,,,,,,,EEF1A1,,,,,,,,
,,,,,,,,,,NUDT9,,,,,,,,
,,,,,,,,,,CEPT1,,,,,,,,
,,,,,,,,,,RNPEPL1,,,,,,,,
,,,,,,,,,,FNBP4,,,,,,,,
,,,,,,,,,,CLUAP1,,,,,,,,
,,,,,,,,,,ZNF394,,,,,,,,
