group,index
12,CDC42SE2
12,EMP3
12,RPS15A
12,RPL19
12,RPL18
12,RPS23
12,RPL3
12,HLA-A
12,RPL6
12,TBC1D10C
12,STAT3
12,RPL23A
12,RPLP1
12,TUBA4A
12,S100A4
12,LAT
12,RPL10A
12,EIF3E
12,LIMD2
12,CD48
12,RPL34
12,RPL35A
12,RPLP0
12,TOMM7
12,CD69
12,LSP1
12,RPL31
12,RPL18A
12,RPL23
12,RPLP2
12,DNAJB1
12,RAP1B
12,RPL14
12,RPL5
12,CD44
12,RPS25
12,EEF1A1
12,PFN1
12,DDX24
12,NDUFA4
12,ZFP36L2
12,LITAF
13,GZMB
13,LYAR
13,CD7
13,NPAT
13,APOBEC3G
13,GPR155
13,RFX2
13,SERINC5
13,ANXA6
13,SOCS3
13,EEF1D
13,PIP4K2A
13,NDFIP1
13,RPS27
13,TRMT1
13,SGSM3
13,EEF2
13,MBP
13,SUN2
13,SYNE2
13,FAM102A
13,CMC1
13,GNLY
13,RUNX3
13,NKTR
13,SYTL3
13,SIGIRR
13,CDK5RAP1
13,PTPN4
13,ZBTB7B
13,TRAP1
13,CCND2
13,MYC
13,RPS8
13,ETS1
13,TTC38
13,KLF2
13,SPINT2
13,NDUFA1
13,RPS3
13,EIF3L
13,HLA-F
13,RPL27A
13,IL10RA
13,NGDN
13,JMJD6
13,TPCN1
13,RASGRP2
13,STMN3
13,PPP2R5C
13,RNF125
13,HIGD2A
13,CST7
13,SMAP2
13,F2R
13,BIN1
13,GZMM
13,SPOCK2
13,EMB
13,SSBP4
13,MAN1C1
13,MLXIP
13,TMEM63A
13,CTSW
13,OPTN
13,NPM1
13,ZBTB38
13,ZNF101
13,MED31
13,PSIP1
13,CCND3
13,CALM1
13,AAK1
13,AKNA
13,PTP4A2
13,TPP2
13,COX4I1
13,FYN
13,GDAP2
13,HCST
13,PRDM1
13,ITGAL
13,BCAS2
13,B2M
13,SLC9A3R1
13,LDHB
13,CNOT6L
13,ITGB2
13,SPN
13,TCF7
13,PASK
13,PRKCH
13,SKI
13,BTN3A2
13,PRKACB
13,CAPN2
13,TNKS2
13,ACTN1
13,GIMAP2
13,NDUFS5
13,GPR183
13,SH3YL1
13,BTN3A1
13,MAML2
13,EXOSC8
13,CCL5
13,CHST12
13,ISG20
13,TREM1
13,RRP8
13,THEM4
13,PLEKHB1
13,SETD2
13,RORA
13,ARPC5L
13,KIAA1109
13,ABLIM1
13,IFITM1
13,PDK1
13,RAB27A
13,CDC25B
13,MYL12A
13,TPST2
13,TSEN54
13,SON
13,NKG7
13,SLC35E1
13,TMEM123
13,PIK3IP1
13,FOXP1
13,DGKA
13,AIF1
