RPL27,,,,,PRELID1,,,,,RPL14,,RPS25,PRKCH,,,,,
RPL27A,,,,,PRR13,,,,,RPL15,,RPS27,PSIP1,,,,,
RPL28,,,,,PSAP,,,,,RPL18,,RPS27A,PTP4A2,,,,,
RPL29,,,,,PSME2,,,,,RPL18A,,RPS29,PTPN4,,,,,
RPL3,,,,,PYCARD,,,,,RPL19,,RPS3,R3HDM4,,,,,
RPL30,,,,,RAB31,,,,,RPL23,,RPS3A,RAB27A,,,,,
RPL32,,,,,RGS2,,,,,RPL23A,,RPS5,RAP1B,,,,,
RPL34,,,,,RHOA,,,,,RPL24,,RPS6,RASAL3,,,,,
RPL35A,,,,,RHOG,,,,,RPL26,,RPS7,RASGRP2,,,,,
RPL36,,,,,RNASET2,,,,,RPL27,,RPS8,RCAN3,,,,,
RPL36A,,,,,RNF130,,,,,RPL27A,,S100A4,RFX2,,,,,
RPL37,,,,,RPS24,,,,,RPL28,,SON,RNF125,,,,,
RPL37A,,,,,S100A11,,,,,RPL29,,STAT3,RNF7,,,,,
RPL38,,,,,S100A4,,,,,RPL3,,TAGLN2,RNMT,,,,,
RPL39,,,,,S100A6,,,,,RPL30,,TBC1D10C,RORA,,,,,
RPL4,,,,,S100A8,,,,,RPL31,,TOMM7,RPL23A,,,,,
RPL41,,,,,S100A9,,,,,RPL32,,TUBA4A,RPL27A,,,,,
RPL5,,,,,SAT1,,,,,RPL34,,TXNIP,RPP38,,,,,
RPL6,,,,,SERF2,,,,,RPL35,,ZFP36L2,RPS27,,,,,
RPL7,,,,,SERP1,,,,,RPL35A,,,RPS3,,,,,
RPL7A,,,,,SERPINA1,,,,,RPL36,,,RPS8,,,,,
RPL8,,,,,SERPINB1,,,,,RPL37,,,RRP8,,,,,
RPL9,,,,,SH3BGRL,,,,,RPL37A,,,RUNX3,,,,,
RPLP1,,,,,SH3BGRL3,,,,,RPL38,,,S100A4,,,,,
RPLP2,,,,,SLC25A3,,,,,RPL39,,,S1PR4,,,,,
RPS10,,,,,SOD2,,,,,RPL4,,,SELL,,,,,
RPS12,,,,,SPI1,,,,,RPL41,,,SERINC5,,,,,
RPS13,,,,,SRGN,,,,,RPL5,,,SETD2,,,,,
RPS14,,,,,STXBP2,,,,,RPL6,,,SGSM3,,,,,
RPS15,,,,,TAGLN2,,,,,RPL7,,,SH3YL1,,,,,
RPS15A,,,,,TALDO1,,,,,RPL8,,,SIGIRR,,,,,
RPS18,,,,,TGFBI,,,,,RPLP0,,,SKAP1,,,,,
RPS19,,,,,TIMP1,,,,,RPLP1,,,SKI,,,,,
RPS2,,,,,TKT,,,,,RPLP2,,,SLC35E1,,,,,
RPS21,,,,,TMBIM6,,,,,RPRD2,,,SLC9A3R1,,,,,
RPS23,,,,,TMSB10,,,,,RPS12,,,SLFN5,,,,,
RPS24,,,,,TMSB4X,,,,,RPS13,,,SMAP2,,,,,
RPS25,,,,,TNFRSF1B,,,,,RPS14,,,SOCS3,,,,,
RPS26,,,,,TNFSF13B,,,,,RPS15,,,SON,,,,,
RPS27,,,,,TPP1,,,,,RPS15A,,,SPINT2,,,,,
RPS27A,,,,,TPT1,,,,,RPS16,,,SPN,,,,,
RPS29,,,,,TSPO,,,,,RPS19,,,SPOCK2,,,,,
RPS3,,,,,TXN,,,,,RPS2,,,SPON2,,,,,
RPS3A,,,,,TYMP,,,,,RPS20,,,SPTBN1,,,,,
RPS4X,,,,,TYROBP,,,,,RPS21,,,SS18L2,,,,,
RPS5,,,,,VAMP8,,,,,RPS23,,,SSBP4,,,,,
RPS6,,,,,VCAN,,,,,RPS27,,,STAT4,,,,,
RPS7,,,,,VMP1,,,,,RPS27A,,,STMN3,,,,,
RPS8,,,,,WSB1,,,,,RPS29,,,SUN2,,,,,
RPS9,,,,,ZEB2,,,,,RPS3,,,SYNE1,,,,,
RPSA,,,,,ZFAND5,,,,,RPS3A,,,SYNE2,,,,,
S1PR4,,,,,,,,,,RPS5,,,SYTL3,,,,,
SELL,,,,,,,,,,RPS6,,,TBC1D10C,,,,,
SNX2,,,,,,,,,,RPS7,,,TCF7,,,,,
SNX22,,,,,,,,,,RPS8,,,THAP7,,,,,
SPN,,,,,,,,,,RSL1D1,,,THEM4,,,,,
SSR1,,,,,,,,,,RUNX3,,,TMEM123,,,,,
STK4,,,,,,,,,,RXRB,,,TMEM63A,,,,,
SWAP70,,,,,,,,,,SATB1,,,TNKS2,,,,,
TAGLN2,,,,,,,,,,SELL,,,TOB1,,,,,
TBC1D10C,,,,,,,,,,SELPLG,,,TOMM7,,,,,
TCF4,,,,,,,,,,SERINC5,,,TPCN1,,,,,
THAP11,,,,,,,,,,SETD5,,,TPP2,,,,,
TMEM156,,,,,,,,,,SH2B1,,,TPST2,,,,,
TMEM243,,,,,,,,,,SLC40A1,,,TRABD2A,,,,,
TNFSF13B,,,,,,,,,,SLTM,,,TRAP1,,,,,
TPD52,,,,,,,,,,SOCS3,,,TREM1,,,,,
TRAF4,,,,,,,,,,SPOCK2,,,TRMT1,,,,,
TRIM22,,,,,,,,,,STMN3,,,TSEN54,,,,,
TSC22D3,,,,,,,,,,SUPV3L1,,,TTC38,,,,,
UBA52,,,,,,,,,,SUSD3,,,TUBA4A,,,,,
WDR74,,,,,,,,,,SVIL,,,UBQLN2,,,,,
XBP1,,,,,,,,,,TATDN2,,,USP36,,,,,
ZCCHC7,,,,,,,,,,TBC1D5,,,WDR43,,,,,
,,,,,,,,,,TCF7,,,ZBTB38,,,,,
,,,,,,,,,,TEX264,,,ZBTB7B,,,,,
,,,,,,,,,,THEM4,,,ZFP36L2,,,,,
,,,,,,,,,,TMC8,,,ZNF101,,,,,
,,,,,,,,,,TNFRSF25,,,,,,,,
,,,,,,,,,,TPP2,,,,,,,,
,,,,,,,,,,TRABD2A,,,,,,,,
,,,,,,,,,,TRAF1,,,,,,,,
,,,,,,,,,,TXNIP,,,,,,,,
,,,,,,,,,,USP16,,,,,,,,
,,,,,,,,,,UTP20,,,,,,,,
,,,,,,,,,,VPS52,,,,,,,,
,,,,,,,,,,WDR6,,,,,,,,
,,,,,,,,,,WDR82,,,,,,,,
,,,,,,,,,,ZBTB40,,,,,,,,
,,,,,,,,,,ZBTB7B,,,,,,,,
,,,,,,,,,,ZNF263,,,,,,,,
,,,,,,,,,,ZNF264,,,,,,,,
,,,,,,,,,,ZNF394,,,,,,,,
,,,,,,,,,,ZNF609,,,,,,,,
,,,,,,,,,,ZNF76,,,,,,,,
,,,,,,,,,,ZNF780B,,,,,,,,
