B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
CD10,CCR7,CDH5,GFPT2,S100A8,TLR2,NR0B1,FKBP1A,TGFBR3,CST7,DUSP5,FRGCA,SERINC5,,,,GZMH,CD8A,GZMH,SMAD1,,,,HEY1,PTPRCRA,FGFBP2,
IL7R,CD1B,CLDN5,IGF2,SELP,TLR4,PILRA,GPX1,DKK3,CTSW,ITM2C,GMPPB,SLC40A1,,,,GZMK,LAG3,IGF1R,ST8SIA1,,,,ST8SIA1,ITGA2,ITGA1,
SDC1,CD1C,CLEC14A,IGFBP5,SIGLEC1,TREM1,PPM1H,CST3,SLITRK6,CX3CR1,UBE2J1,GPRC5D,SNHG29,,,,IFNG,CD3D,IL7R,STK39,,,,MYO6,ITGA4,CXCR3,
CD14,CD1E,COL4A1,IGFBP6,SOCS3,TREM2,PRG2,CTSD,CYSLTR1,CXCL10,TMEM109,GUSBP11,SNHG32,,,,IL7R,HNF1A,ITFG2,THADA,,,,KCNK5,CD5,CD8B,
ITGB20,CD33,COLEC11,ISLR,STAT1,FCER1AG,PTGS1,S100A6,MMP2,CXCR1,PLAC8,HDLBP,SOCS3,,,,ITGA1,EOMES,ITGAE,TIGIT,,,,,CD52,CD8A,
CD19,CD4,COLEC12,LOX,TLR2,FCER2A,PTGS2,GRB2,POSTN,CXCR3,CCDC88A,HERPUD1,SVIL,,,,ITGAM,,LDHB,TNFRSF4,,,,,CD70,CD52,
CD1C,CD59,DIPK2B,LPAR1,TLR4,HLA-DRA,RNASE3,GMFG,ATP1B1,CXCR4,SLC3A2,HID1,TBX21,,,,KCNAB2,,LDLRAP1,TOX,,,,,CD72,,
CD20,CLEC10A,DCBLD2,LTBP2,TNF,,S100A4,ALDOA,CREB5,CXCR5,RNF130,HM13,TCF7,,,,KLRC3,,LEF1,TOX2,,,,,CDC25B,,
CD21,CLEC9A,DOCK9,LUM,TREM2,,SCG2,TIMP1,ENC1,CXCR6,SEL1L3,HSP90B1,TESPA1,,,,KLRD1,,LEF1-AS1,TSHR,,,,,CLDND1,,
CD22,CXCR4,DYSF,MEG3,TSPO,,SIGLEC6,S100A4,CCDC146,CXXC5,TRAM1,IGF1,TMEM204,,,,KLRF1,,LINC01550,ZNF764,,,,,CLEC5A,,
CD24,EBI3,ECE1,MFAP4,VSIR,,SIGLEC8,HLA-C,C16orf89,DOCK2,PLD4,IGH,TRABD2A,,,,KLRG1,,LMO7,,,,,,CMTM7,,
CD25,FCER1A,ECSCR,MFAP5,,,SLC18A2,PPT1,PCSK1N,DUSP1,NPC2,IGHA1,TSHZ2,,,,LGALS1,,LRRC75A,,,,,,CORO1B,,
TNFSF13B,H4C3,EDG1,MGST1,,,SLC24A3,CD14,PDGFC,EOMES,MPEG1,IGHA2,TXK,,,,LILRB1,,LRRN3,,,,,,CORO7,,
CD27,HLA-DPB1,EDG3,MIR100HG,,,SLC6A4,CTSB,GEM,FASLG,SEC61G,IGHD,,,,,LITAF,,MAL,,,,,,CPNE2,,
CD28,HLA-DQA1,EDG5,MMP2,,,TAL1,AHNAK,S100A10,FCER1G,HLA-DQA1,IGHG1,,,,,LLGL2,,MAML2,,,,,,CTLA4,,
