ligand,receptor,species
Mstn,Acvr2b,Mouse
Mstn,Acvr2a,Mouse
Nppc,Npr3,Mouse
Nppc,Npr1,Mouse
Nppc,Npr2,Mouse
Il20,Il20rb,Mouse
Il20,Il22ra1,Mouse
Lamc2,Itga6,Mouse
Lamc2,Itgb1,Mouse
Lamc2,Itgb4,Mouse
Xcl1,Xcr1,Mouse
Angptl1,Tek,Mouse
Tnfsf4,Traf2,Mouse
Tnfsf4,Tnfrsf4,Mouse
Cel,Cxcr4,Mouse
Hc,C5ar2,Mouse
Hc,C5ar1,Mouse
Il36a,Il1rap,Mouse
Il36a,Il1rl2,Mouse
Il36b,Il1rap,Mouse
Il36b,Il1rl2,Mouse
Fshb,Fshr,Mouse
Lin7c,Abca1,Mouse
Lin7c,Htr2c,Mouse
Mdk,Itgb1,Mouse
Mdk,Lrp6,Mouse
Mdk,Alk,Mouse
Mdk,Ptprz1,Mouse
Mdk,Lrp1,Mouse
F2,Thbd,Mouse
F2,Itga2b,Mouse
Jag1,Notch2,Mouse
Jag1,Notch3,Mouse
Oxt,Avpr2,Mouse
Oxt,Oxtr,Mouse
Spint1,St14,Mouse
Bmp2,Acvr2b,Mouse
Bmp2,Bmpr1b,Mouse
Bmp2,Tgfbr3,Mouse
Bmp2,Hjv,Mouse
Bmp2,Acvr2a,Mouse
Bmp2,Bmpr2,Mouse
Bmp2,Acvr1,Mouse
Bmp2,Bmpr1a,Mouse
Il1b,Il1rap,Mouse
Il1a,Il1rap,Mouse
Cst3,Lrp2,Mouse
Angpt4,Tek,Mouse
Edn3,Ednrb,Mouse
Edn3,Kel,Mouse
Edn3,Ednra,Mouse
a,Mc1r,Mouse
Ghrh,Ghrhr,Mouse
Ghrh,Vipr1,Mouse
Il21,Il21r,Mouse
Il21,Il2rg,Mouse
Il2,Il2rg,Mouse
Il2,Il2rb,Mouse
Wnt2b,Fzd4,Mouse
Efna1,Epha10,Mouse
Efna1,Epha3,Mouse
Efna1,Epha7,Mouse
Efna1,Epha6,Mouse
Efna1,Epha8,Mouse
Efna1,Epha1,Mouse
Efna1,Epha5,Mouse
Vcam1,Itga4,Mouse
Vcam1,Itgb1,Mouse
Vcam1,Itga9,Mouse
Sfrp2,Fzd5,Mouse
Pdgfc,Pdgfra,Mouse
Egf,Erbb3,Mouse
Egf,Erbb2,Mouse
Egf,Erbb4,Mouse
Dkk2,Lrp6,Mouse
Efna3,Epha10,Mouse
Efna3,Epha3,Mouse
Efna3,Epha7,Mouse
Efna3,Epha6,Mouse
Efna3,Epha8,Mouse
Efna3,Epha1,Mouse
Efna3,Erbb2,Mouse
Efna3,Ephb1,Mouse
Efna3,Epha5,Mouse
Efna4,Epha10,Mouse
Efna4,Epha3,Mouse
Efna4,Epha7,Mouse
Efna4,Epha6,Mouse
Efna4,Epha8,Mouse
Efna4,Epha1,Mouse
Efna4,Epha5,Mouse
Adam15,Itgb1,Mouse
Adam15,Itga9,Mouse
Sema4a,Plxnb1,Mouse
Sema4a,Plxnb2,Mouse
Ccn1,Itgam,Mouse
Tnfsf8,Tnfrsf8,Mouse
Tln1,Itgal,Mouse
Tln1,Itgb1,Mouse
Col9a2,Mag,Mouse
Edn2,Ednrb,Mouse
Edn2,Kel,Mouse
Edn2,Ednra,Mouse
Sema3c,Plxna4,Mouse
Sema3c,Plxnb1,Mouse
Sema3c,Nrp2,Mouse
Hgf,Itgb1,Mouse
Hgf,Nrp2,Mouse
Hgf,Plxnb1,Mouse
Hgf,Met,Mouse
Rspo1,Lgr4,Mouse
Rspo1,Lgr6,Mouse
Rspo1,Lrp6,Mouse
Rspo1,Znrf3,Mouse
Sema3a,Plxna4,Mouse
Sema3a,Nrp2,Mouse
Sema3a,Plxna1,Mouse
Uts2,Uts2r,Mouse
Cort,Sstr3,Mouse
Cort,Sstr2,Mouse
Cort,Sstr4,Mouse
Cort,Sstr5,Mouse
Cort,Sstr1,Mouse
Cort,Ghsr,Mouse
Draxin,Dcc,Mouse
Gnb1,Kcnj6,Mouse
Nmu,Nmur2,Mouse
Bmp3,Acvr2b,Mouse
Bmp3,Acvr2a,Mouse
Fgf5,Fgfr1,Mouse
Fgf5,Fgfr2,Mouse
Fgf5,Fgfr3,Mouse
Cxcl5,Cxcr2,Mouse
Cxcl5,Ackr1,Mouse
Ppbp,Cxcr2,Mouse
Ppbp,Cxcr1,Mouse
Pf4,Thbd,Mouse
Pf4,Fgfr2,Mouse
Pf4,Cxcr3,Mouse
Pf4,Lrp1,Mouse
Areg,Erbb3,Mouse
Areg,Erbb2,Mouse
Areg,Erbb4,Mouse
Cxcl3,Cxcr2,Mouse
Cxcl3,Cxcr3,Mouse
Cxcl1,Cxcr2,Mouse
Cxcl1,Cxcr1,Mouse
Cxcl1,Ackr1,Mouse
Il31,Il31ra,Mouse
Pla2g1b,Pla2r1,Mouse
Col1a2,Itgb1,Mouse
Col1a2,Itga2,Mouse
Col1a2,Cd93,Mouse
Gng11,Kcnj6,Mouse
Epo,Mpl,Mouse
Gnb2,Kcnj6,Mouse
Npy,Npy4r,Mouse
Npy,Npy5r,Mouse
Npy,Npy1r,Mouse
Npy,Dpp4,Mouse
Npy,Npy6r,Mouse
Npy,Fap,Mouse
Npvf,Npffr2,Mouse
Tgfa,Erbb3,Mouse
Tgfa,Erbb2,Mouse
Tgfa,Erbb4,Mouse
Bmp10,Acvr1,Mouse
Bmp10,Bmpr2,Mouse
Bmp10,Bmpr1a,Mouse
Bmp10,Alk,Mouse
Prok2,Prokr2,Mouse
Prok2,Prokr1,Mouse
Wnt7a,Fzd1,Mouse
Wnt7a,Fzd9,Mouse
Wnt7a,Fzd3,Mouse
Wnt7a,Adgra2,Mouse
Wnt7a,Lrp6,Mouse
Wnt7a,Fzd5,Mouse
Wnt7a,Fzd4,Mouse
Wnt7a,Fzd7,Mouse
Gdf3,Acvr2b,Mouse
Gdf3,Acvr2a,Mouse
Clec2d,Klrb1b,Mouse
Rtn2,Rtn4r,Mouse
Vasp,Itga4,Mouse
Mfge8,Itgb5,Mouse
Mfge8,Itgb1,Mouse
Calca,Calcrl,Mouse
Calca,Calcr,Mouse
Fgf21,Fgfr1,Mouse
Fgf21,Fgfr2,Mouse
Fgf21,Fgfr3,Mouse
Izumo1,Izumo1r,Mouse
Hpx,Lrp1,Mouse
Fgf15,Fgfr1,Mouse
Fgf15,Fgfr2,Mouse
Fgf15,Fgfr3,Mouse
Fadd,Tradd,Mouse
Cd40lg,Traf1,Mouse
Fgf13,Fgfr1,Mouse
Fgf13,Fgfr2,Mouse
Fgf13,Scn5a,Mouse
Fgf13,Fgfr3,Mouse
F9,Lrp1,Mouse
F8,Ldlr,Mouse
F8,Lrp1,Mouse
Fgf16,Fgfr1,Mouse
Fgf16,Fgfr2,Mouse
Fgf16,Fgfr3,Mouse
Bgn,P2rx7,Mouse
Bgn,Tlr4,Mouse
Vegfd,Nrp2,Mouse
Vegfd,Fgfr2,Mouse
Vegfd,Kdr,Mouse
Vegfd,Itga9,Mouse
Angpt2,Itgb1,Mouse
Angpt2,Tek,Mouse
Tnfsf13b,Tnfrsf13c,Mouse
Col4a1,Itgb1,Mouse
Col4a1,Cd93,Mouse
Col4a2,Itgb1,Mouse
Col4a2,Cd93,Mouse
Vegfc,Ccbe1,Mouse
Vegfc,Itgb1,Mouse
Vegfc,Nrp2,Mouse
Vegfc,Kdr,Mouse
Vegfc,Itga9,Mouse
Plat,Lrp1,Mouse
Plat,Itgam,Mouse
Sfrp1,Fzd2,Mouse
Fgf20,Fgfr1,Mouse
Fgf20,Fgfr2,Mouse
Fgf20,Fgfr3,Mouse
Il15,Il15ra,Mouse
Il15,Il2rb,Mouse
Il15,Il11ra1,Mouse
Mmp2,Itgb1,Mouse
Cx3cl1,Itga4,Mouse
Cx3cl1,Itgb1,Mouse
Cx3cl1,Cx3cr1,Mouse
Ccl22,Ccr4,Mouse
Ccl22,Ackr2,Mouse
Ccl22,Dpp4,Mouse
Ccl17,Ccr8,Mouse
Ccl17,Ccr4,Mouse
Ccl17,Ackr1,Mouse
Ccl17,Ackr2,Mouse
Insl3,Rxfp2,Mouse
Insl3,Rxfp1,Mouse
Jam3,Itgam,Mouse
Jam3,Itga4,Mouse
Jam3,Itgal,Mouse
Jam3,Itgb1,Mouse
Apoc3,Ldlr,Mouse
Apoc3,Lrp1,Mouse
Apoa1,Lrp2,Mouse
Lipc,Scarb1,Mouse
Lipc,Lrp1,Mouse
Ptgs2,Ptger4,Mouse
Ptgs2,Ptger3,Mouse
Ptgs2,Ptger2,Mouse
Tdgf1,Acvr2b,Mouse
Tdgf1,Acvr2a,Mouse
Tdgf1,Gpc1,Mouse
Tdgf1,Fzd7,Mouse
Ucn,Crhr1,Mouse
Ntng2,Lrrc4c,Mouse
Ntng2,Lrrc4,Mouse
Avp,Oxtr,Mouse
Lgals3bp,Itgb1,Mouse
Apob,Lrp2,Mouse
Apob,Scarb1,Mouse
Apob,Apobr,Mouse
Apob,Lrp1,Mouse
Apob,Tlr4,Mouse
Apob,Mttp,Mouse
Apob,Cd36,Mouse
Wnt4,Musk,Mouse
Wnt4,Fzd2,Mouse
Wnt4,Fzd1,Mouse
Wnt4,Fzd10,Mouse
Wnt4,Fzd8,Mouse
Wnt4,Fzd5,Mouse
Wnt4,Fzd4,Mouse
Wnt4,Fzd7,Mouse
Fgg,Itga2b,Mouse
Galp,Galr1,Mouse
Galp,Galr2,Mouse
Fgf2,Fgfr2,Mouse
Fgf2,Fgfr1,Mouse
Fgf2,Sdc3,Mouse
Fgf2,Ptprz1,Mouse
Fgf2,Fgfr3,Mouse
Csf3,Csf3r,Mouse
Bmp8a,Acvr2b,Mouse
Bmp8a,Acvr2a,Mouse
Bmp8a,Tgfbr2,Mouse
Bmp8a,Bmpr2,Mouse
Gdf7,Acvr2a,Mouse
Gdf7,Bmpr2,Mouse
Serpine1,Lrp1b,Mouse
Serpine1,Lrp2,Mouse
Serpine1,Lrp1,Mouse
Serpine1,Vldlr,Mouse
Ccl5,Gpr75,Mouse
Ccl5,Ccr4,Mouse
Ccl5,Ccrl2,Mouse
Ccl5,Ccr5,Mouse
Ccl5,Ackr1,Mouse
Ccl5,Ackr2,Mouse
Ccl5,Ackr4,Mouse
Nodal,Acvr2b,Mouse
Nodal,Acvr2a,Mouse
Npnt,Itgb1,Mouse
Lman1,Mcfd2,Mouse
Tnfsf10,Tnfrsf11b,Mouse
Inha,Acvr2a,Mouse
Tnfsf9,Traf1,Mouse
Pth2,Ramp1,Mouse
Mif,Cd74,Mouse
Mif,Cxcr2,Mouse
Mif,Ackr3,Mouse
Mif,Cxcr4,Mouse
Spon1,Lrp8,Mouse
Lefty1,Acvr1,Mouse
Lefty1,Acvr2b,Mouse
Lefty1,Acvr2a,Mouse
Sct,Sctr,Mouse
Rspo4,Lgr4,Mouse
Sema7a,Itgb1,Mouse
Gng10,Kcnj6,Mouse
Wnt8b,Fzd10,Mouse
Wnt8b,Ptk7,Mouse
Wnt8b,Fzd7,Mouse
Amh,Acvr1,Mouse
Il5,Csf2rb,Mouse
Il5,Il5ra,Mouse
Tgfb2,Tgfbr2,Mouse
Iapp,Ramp3,Mouse
Iapp,Calcr,Mouse
Lama1,Itgb1,Mouse
Lama1,Itga2,Mouse
Lama1,Itga1,Mouse
Lama1,Itgb4,Mouse
Lama1,Itga7,Mouse
Pmch,Mchr1,Mouse
Crp,Tlr4,Mouse
Thbs1,Itga1,Mouse
Thbs1,Vldlr,Mouse
Thbs1,Itgb1,Mouse
Thbs1,Ptprj,Mouse
Thbs1,Cd47,Mouse
Thbs1,Itga2,Mouse
Thbs1,Cd36,Mouse
Inhbb,Acvr2b,Mouse
Inhbb,Acvr2a,Mouse
Clcf1,Cntfr,Mouse
Clcf1,Il6st,Mouse
Fgf1,Fgfr1,Mouse
Fgf1,Fgfr2,Mouse
Fgf1,Fgfr3,Mouse
Apln,Aplnr,Mouse
Grn,Sort1,Mouse
Nrtn,Sdc3,Mouse
Prl3a1,Prlr,Mouse
Gc,Lrp2,Mouse
Il17f,Il17rc,Mouse
Cxcl10,Cxcr4,Mouse
Cxcl10,Cxcr3,Mouse
Prl3b1,Prlr,Mouse
Chad,Itgb1,Mouse
Chad,Itga2,Mouse
Inhba,Acvr2b,Mouse
Inhba,Acvr2a,Mouse
S100b,Fgfr1,Mouse
Gdf5,Acvr1,Mouse
Gdf5,Acvr2b,Mouse
Gdf5,Acvr2a,Mouse
Gdf5,Bmpr2,Mouse
C1qa,Cd93,Mouse
Calm2,Grm7,Mouse
Calm2,Scn10a,Mouse
Calm2,Cacna1c,Mouse
Calm2,Trpc5,Mouse
Calm2,Kcnq3,Mouse
Ctf1,Il6st,Mouse
Ucn3,Crhr1,Mouse
Efnb1,Ephb2,Mouse
Efnb1,Ephb4,Mouse
Efnb1,Epha6,Mouse
Efnb1,Ephb6,Mouse
Efnb1,Epha5,Mouse
Rln3,Rxfp2,Mouse
Rln3,Rxfp4,Mouse
Rln3,Rxfp1,Mouse
Rln3,Rxfp3,Mouse
Col9a1,Mag,Mouse
Nlgn2,Nrxn1,Mouse
Nlgn2,Nrxn3,Mouse
Nlgn2,Nrxn2,Mouse
Prl2c1,Prlr,Mouse
Lcn2,Lrp2,Mouse
Inhbe,Acvr2b,Mouse
Inhbe,Acvr2a,Mouse
Pnoc,Oprl1,Mouse
Fn1,Itgb1,Mouse
Fn1,Itga2b,Mouse
Fn1,Flrt2,Mouse
Fn1,Col13a1,Mouse
Fbln1,Itgb1,Mouse
Il18,Il18r1,Mouse
Il18,Il18bp,Mouse
Il27,Il6st,Mouse
Qrfp,Qrfpr,Mouse
Pcsk9,Lrp8,Mouse
Pcsk9,Aplp2,Mouse
Pcsk9,Vldlr,Mouse
Pcsk9,Sort1,Mouse
Arf6,Pld1,Mouse
Il17c,Il17re,Mouse
Dscam,Dcc,Mouse
Igf1,Insr,Mouse
Cd14,Itga4,Mouse
Cd14,Itgb1,Mouse
Cd14,Tlr9,Mouse
Fgf4,Fgfr1,Mouse
Fgf4,Fgfr2,Mouse
Fgf4,Fgfr3,Mouse
Gnai2,Adra2b,Mouse
Gnai2,Drd2,Mouse
Gnai2,C5ar1,Mouse
Hcrt,Hcrtr2,Mouse
Hcrt,Hcrtr1,Mouse
Cd24a,Selp,Mouse
Bdnf,Ntrk2,Mouse
Bdnf,Bex3,Mouse
Bdnf,Sort1,Mouse
S100a1,Ryr1,Mouse
Nxph3,Nrxn2,Mouse
Nxph3,Nrxn1,Mouse
Nxph3,Nrxn3,Mouse
Ucn2,Crhr1,Mouse
Crh,Crhr1,Mouse
Fat4,Dchs1,Mouse
Gdf6,Acvr2a,Mouse
Gdf6,Bmpr2,Mouse
Adam10,Epha3,Mouse
Adam10,Notch3,Mouse
Adam10,Cadm1,Mouse
Artn,Sdc3,Mouse
Adm2,Calcrl,Mouse
Wnt5a,Fzd2,Mouse
Wnt5a,Fzd3,Mouse
Wnt5a,Ryk,Mouse
Wnt5a,Fzd5,Mouse
Wnt5a,Fzd7,Mouse
Adam12,Itgb1,Mouse
Adam12,Epha1,Mouse
Amelx,Cd63,Mouse
Nlgn3,Nrxn1,Mouse
Nlgn3,Nrxn3,Mouse
Nlgn3,Nrxn2,Mouse
Agt,Lrp2,Mouse
Agt,Agtr1a,Mouse
Agt,Agtr1b,Mouse
Agt,Agtr2,Mouse
Agt,Mas1,Mouse
Slit3,Robo3,Mouse
Slit3,Robo2,Mouse
Slit3,Plxna1,Mouse
Lep,Lrp2,Mouse
Adcyap1,Adrb3,Mouse
Adcyap1,Ramp2,Mouse
Lif,Lifr,Mouse
Lif,Il6st,Mouse
Rspo2,Znrf3,Mouse
Adam17,Aplp2,Mouse
Adam17,Itgb1,Mouse
Adam17,Notch2,Mouse
Adam17,Ghr,Mouse
Adam17,Erbb4,Mouse
Adam17,Rhbdf2,Mouse
Dmp1,Phex,Mouse
Sema5a,Met,Mouse
Sema5a,Plxna1,Mouse
Fgf7,Fgfr1,Mouse
Fgf7,Fgfr2,Mouse
Fgf7,Fgfr3,Mouse
Cthrc1,Fzd3,Mouse
Alkal2,Alk,Mouse
Tg,Lrp2,Mouse
Ntng1,Lrrc4c,Mouse
Prl7c1,Prlr,Mouse
Postn,Itgb1,Mouse
Cxcl12,Itga4,Mouse
Cxcl12,Oprm1,Mouse
Cxcl12,Itgb1,Mouse
Prl3d3,Prlr,Mouse
Nrg1,Erbb3,Mouse
Nrg1,Erbb4,Mouse
Sema3e,Plxna1,Mouse
Cxcl17,Gpr35,Mouse
Bmp4,Bmpr2,Mouse
Bmp4,Musk,Mouse
Nlgn1,Nrxn1,Mouse
Nlgn1,Nrxn3,Mouse
Nlgn1,Nrxn2,Mouse
Osm,Lifr,Mouse
Osm,Il6st,Mouse
Osm,Il11ra1,Mouse
Cxcl2,Cxcr2,Mouse
Jag2,Notch2,Mouse
Jag2,Notch3,Mouse
Pdgfa,Pdgfra,Mouse
Itgb1bp1,Itgb1,Mouse
Efna5,Ephb2,Mouse
Gnb5,Kcnj6,Mouse
Sftpd,Sirpa,Mouse
Gng8,Kcnj6,Mouse
Pth,Ramp1,Mouse
Gnas,Ptgdr,Mouse
Gnas,Htr6,Mouse
Sema3f,Nrp2,Mouse
Prl7b1,Prlr,Mouse
Prl3d2,Prlr,Mouse
Prl3d1,Prlr,Mouse
Adam9,Itgb1,Mouse
Hmgb1,Thbd,Mouse
Lefty2,Acvr2b,Mouse
Tnfsf18,Tnfrsf18,Mouse
Icam1,Itgal,Mouse
Icam1,Ahr,Mouse
Col4a4,Itgb1,Mouse
Col4a4,Cd93,Mouse
Col3a1,Itgb1,Mouse
Col3a1,Mag,Mouse
Col3a1,Ddr2,Mouse
Gng5,Kcnj6,Mouse
Sema3g,Plxna4,Mouse
Sema3g,Nrp2,Mouse
Prl6a1,Prlr,Mouse
Lama3,Itgb4,Mouse
Lama2,Itgb4,Mouse
Lama2,Itga7,Mouse
Ccl26,Ccr2,Mouse
Il11,Il6st,Mouse
Il11,Il11ra1,Mouse
Ccl21a,Ccr7,Mouse
Fgf14,Fgfr2,Mouse
Prl7a1,Prlr,Mouse
Gng3,Kcnj6,Mouse
Il22,Il22ra1,Mouse
Ccl21d,Ccr7,Mouse
Gng7,Kcnj6,Mouse
Prl2c3,Prlr,Mouse
Fyn,Thy1,Mouse
Fgf12,Fgfr2,Mouse
Selplg,Cxcr2,Mouse
Selplg,Selp,Mouse
Psen1,Ephb2,Mouse
Psen1,Erbb4,Mouse
Sema6d,Plxna4,Mouse
Sema6d,Plxna1,Mouse
Sema6d,Kdr,Mouse
Pla2g5,Pla2r1,Mouse
Sema3b,Nrp2,Mouse
Sema3b,Plxna1,Mouse
Fgf11,Fgfr2,Mouse
Gcg,Glp1r,Mouse
Btla,Tnfrsf14,Mouse
Rtn4,Rtn4rl2,Mouse
Nxph2,Nrxn1,Mouse
Prl2b1,Prlr,Mouse
Fgf3,Fgfr2,Mouse
Cd160,Tnfrsf14,Mouse
Sema6c,Plxna1,Mouse
Lgals9,Clec7a,Mouse
Apoc1,Vldlr,Mouse
Ntn1,Robo3,Mouse
Ntn1,Dcc,Mouse
Ntn1,Unc5d,Mouse
Wnt7b,Fzd10,Mouse
Wnt7b,Fzd3,Mouse
Wnt7b,Fzd7,Mouse
Vcan,Selp,Mouse
Calm1,Kcnn4,Mouse
Calm1,Cacna1c,Mouse
Calm1,Grm4,Mouse
Prl8a8,Prlr,Mouse
Prl8a6,Prlr,Mouse
Prl,Prlr,Mouse
Prl2c2,Prlr,Mouse
Cntf,Il6st,Mouse
Eda,Eda2r,Mouse
Nrg2,Erbb4,Mouse
Btc,Erbb4,Mouse
Lgals3,Mag,Mouse
Afdn,Nrxn3,Mouse
Reln,Vldlr,Mouse
Nxph1,Nrxn1,Mouse
Nxph1,Nrxn3,Mouse
Sytl3,Nrxn1,Mouse
Slit2,Plxna1,Mouse
Col9a3,Mag,Mouse
Wnt11,Ryk,Mouse
Cntn2,Cntn1,Mouse
L1cam,Cntn1,Mouse
Rtn4,Ngfr,Mouse
Ngf,Ngfr,Mouse
Nts,Ngfr,Mouse
Ntf3,Ngfr,Mouse
Bdnf,Ngfr,Mouse
Omg,Ngfr,Mouse
Ntf5,Ngfr,Mouse
App,Ngfr,Mouse
Il2,Ngfr,Mouse
Ccn1,Itgb2,Mouse
C3,Itgb2,Mouse
Jam3,Itgb2,Mouse
Fgg,Itgb2,Mouse
Bsg,Itgb2,Mouse
Fga,Itgb2,Mouse
Icam1,Itgb2,Mouse
Vcam1,Itgb2,Mouse
Spon2,Itgb2,Mouse
Mmp9,Itgb2,Mouse
Cd14,Itgb2,Mouse
Plau,Itgb2,Mouse
Plg,Itgb2,Mouse
Icam5,Itgb2,Mouse
Tln1,Itgb2,Mouse
Angpt2,Itgb2,Mouse
Icam2,Itgb2,Mouse
Hsp90b1,Pparg,Mouse
Bmp7,Acvrl1,Mouse
Tgfb1,Acvrl1,Mouse
Bmp10,Acvrl1,Mouse
Gdf2,Acvrl1,Mouse
Bmp15,Acvr1b,Mouse
Gdf9,Acvr1b,Mouse
Gdf3,Acvr1b,Mouse
Nodal,Acvr1b,Mouse
Inhba,Acvr1b,Mouse
Lefty1,Acvr1b,Mouse
Lefty2,Acvr1b,Mouse
Tdgf1,Acvr1b,Mouse
Mstn,Acvr1b,Mouse
Gdf11,Acvr1b,Mouse
Il23a,Il12rb1,Mouse
Il12a,Il12rb1,Mouse
Apob,Lsr,Mouse
Vcam1,Itgb7,Mouse
Madcam1,Itgb7,Mouse
Fn1,Itgb7,Mouse
Adam2,Itgb7,Mouse
Lamc2,Itga3,Mouse
Fn1,Itga3,Mouse
Reln,Itga3,Mouse
Thbs1,Itga3,Mouse
Lgals8,Itga3,Mouse
Lgals3,Itga3,Mouse
Ihh,Smo,Mouse
Shh,Smo,Mouse
Sema5a,Plxnb3,Mouse
Plau,Plaur,Mouse
Vtn,Plaur,Mouse
Serpine2,Plaur,Mouse
Srpx2,Plaur,Mouse
Plg,Plaur,Mouse
Serpine1,Plaur,Mouse
Ceacam1,Plaur,Mouse
Mmp12,Plaur,Mouse
Adam10,Axl,Mouse
Pros1,Axl,Mouse
Vegfa,Axl,Mouse
Gas6,Axl,Mouse
Hras,Grin2d,Mouse
Il17f,Il17ra,Mouse
Il17a,Il17ra,Mouse
Lama5,Bcam,Mouse
Eda,Edar,Mouse
Fn1,Cd79a,Mouse
Psen1,Ncstn,Mouse
App,Ncstn,Mouse
Ucn3,Crhr2,Mouse
Crh,Crhr2,Mouse
Ucn2,Crhr2,Mouse
Ucn,Crhr2,Mouse
Tslp,Il7r,Mouse
Il7,Il7r,Mouse
Sema3f,Plxna3,Mouse
Fyn,Cd244a,Mouse
Mmp9,Cd44,Mouse
Egf,Cd44,Mouse
Bsg,Cd44,Mouse
Vim,Cd44,Mouse
Mif,Cd44,Mouse
Hgf,Cd44,Mouse
Mmp7,Cd44,Mouse
Anxa2,Cd44,Mouse
Fgf1,Cd44,Mouse
Has2,Cd44,Mouse
Fgf2,Cd44,Mouse
Vcan,Cd44,Mouse
Spp1,Cd44,Mouse
Col1a2,Cd44,Mouse
Prg4,Cd44,Mouse
Fn1,Cd44,Mouse
Bgn,Cd44,Mouse
Fgf11,Fgfr4,Mouse
Fgf14,Fgfr4,Mouse
Fgf16,Fgfr4,Mouse
Fgf17,Fgfr4,Mouse
Fgf18,Fgfr4,Mouse
Fgf1,Fgfr4,Mouse
Fgf5,Fgfr4,Mouse
Fgf13,Fgfr4,Mouse
Fgf2,Fgfr4,Mouse
Fgf9,Fgfr4,Mouse
Fgf12,Fgfr4,Mouse
Fgf8,Fgfr4,Mouse
Fgf20,Fgfr4,Mouse
Fgf4,Fgfr4,Mouse
Fgf15,Fgfr4,Mouse
Il27,Il27ra,Mouse
Igf2,Igf1r,Mouse
Igf1,Igf1r,Mouse
Wnt3a,Igf1r,Mouse
Areg,Igf1r,Mouse
Gnai2,Igf1r,Mouse
Gpc3,Igf1r,Mouse
Adam10,Fcer2a,Mouse
Kitl,Kit,Mouse
Il33,Kit,Mouse
Fgf2,Kit,Mouse
Pthlh,Pth1r,Mouse
Pth,Pth1r,Mouse
Gnas,Pth1r,Mouse
Calm1,Cnga2,Mouse
Efnb1,Ephb3,Mouse
Epo,Epor,Mouse
Kitl,Epor,Mouse
Afdn,Nectin4,Mouse
Adam17,Nectin4,Mouse
Efna5,Epha2,Mouse
Efna1,Epha2,Mouse
Efna3,Epha2,Mouse
Efna4,Epha2,Mouse
Bmp15,Tgfbr1,Mouse
Gdf9,Tgfbr1,Mouse
Gdf11,Tgfbr1,Mouse
Tgfb2,Tgfbr1,Mouse
Bmp8a,Tgfbr1,Mouse
Mstn,Tgfbr1,Mouse
Tdgf1,Tgfbr1,Mouse
Bmp10,Tgfbr1,Mouse
Inhba,Tgfbr1,Mouse
Gdf3,Tgfbr1,Mouse
Egf,Cav1,Mouse
Bsg,Cav1,Mouse
Igfbp5,Cav1,Mouse
Gnai2,Cav1,Mouse
Hras,Cav1,Mouse
Clcf1,Crlf1,Mouse
Calm1,Kcnq1,Mouse
Calml3,Kcnq1,Mouse
Bmp10,Eng,Mouse
Tnfsf13,Tnfrsf13b,Mouse
Tnfsf13b,Tnfrsf13b,Mouse
Vip,Vipr2,Mouse
Sct,Vipr2,Mouse
Adcyap1,Vipr2,Mouse
Fgf8,Fgfrl1,Mouse
Fgf2,Fgfrl1,Mouse
Pros1,Mertk,Mouse
Gas6,Mertk,Mouse
Lgals3,Mertk,Mouse
Sema3c,Plxnd1,Mouse
Sema4a,Plxnd1,Mouse
Sema3e,Plxnd1,Mouse
Hmgb1,Ager,Mouse
S100a9,Ager,Mouse
Dll4,Notch4,Mouse
Dll3,Notch4,Mouse
Psen1,Notch4,Mouse
Jag1,Notch4,Mouse
Jag2,Notch4,Mouse
Il25,Il17rb,Mouse
Il17b,Il17rb,Mouse
Apoe,Sdc4,Mouse
Adam12,Sdc4,Mouse
Ptn,Sdc4,Mouse
Rspo3,Sdc4,Mouse
Ceacam1,Sdc4,Mouse
Tnc,Sdc4,Mouse
Cxcl10,Sdc4,Mouse
Tgm2,Sdc4,Mouse
Fgf2,Sdc4,Mouse
Htra2,Cd40,Mouse
Ltb,Cd40,Mouse
Lgals9,Cd40,Mouse
Tnf,Cd40,Mouse
Adam17,Cd40,Mouse
Cd40lg,Cd40,Mouse
Ntn1,Adora2b,Mouse
Ptpn6,Cd22,Mouse
St6gal1,Cd22,Mouse
Ptgs2,Ptger1,Mouse
Nmb,Nmbr,Mouse
Grp,Nmbr,Mouse
Ptpn6,Ros1,Mouse
Ptpn11,Ros1,Mouse
Il19,Il20ra,Mouse
Il24,Il20ra,Mouse
Il20,Il20ra,Mouse
Ifng,Ifngr1,Mouse
Tac1,Tacr2,Mouse
Tac2,Tacr2,Mouse
Npvf,Npffr1,Mouse
Npff,Npffr1,Mouse
Selplg,Vsir,Mouse
Cxcl12,Avpr1a,Mouse
Avp,Avpr1a,Mouse
Ang,Egfr,Mouse
Tnfsf12,Egfr,Mouse
Egf,Egfr,Mouse
Btc,Egfr,Mouse
Ereg,Egfr,Mouse
Spink1,Egfr,Mouse
Il6,Egfr,Mouse
Tnc,Egfr,Mouse
Hsp90aa1,Egfr,Mouse
Vcan,Egfr,Mouse
Postn,Egfr,Mouse
Efnb1,Egfr,Mouse
Hbegf,Egfr,Mouse
Osm,Egfr,Mouse
Areg,Egfr,Mouse
Nrg1,Egfr,Mouse
Lrig1,Egfr,Mouse
Tgfa,Egfr,Mouse
Epgn,Egfr,Mouse
Rspo1,Lgr5,Mouse
Rspo2,Lgr5,Mouse
Rspo3,Lgr5,Mouse
Rspo4,Lgr5,Mouse
Has2,Hmmr,Mouse
Pdgfc,Flt4,Mouse
